Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LA1=2_Wax1=2.txt
Log File Name:                   LA1=2_Wax1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1122653255
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LA1=2_Wax1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-66.977347	443	2	1	'0 0 1 1 Z 0 1 0 	D	0.420016	0.420016	3.112816	3.112816	0.000000	0.420016	3.112816	0.420016	0.250018	0.250034	0.249914	0.250034	2.644044	
12000	-65.531398	325	2	1	'0 0 1 0 Z 0 1 0 	D	0.210660	0.210660	0.872709	0.210660	0.000000	0.210660	0.872709	0.210660	0.250673	0.252806	0.243742	0.252779	3.508157	
13000	-66.142798	744	1	3	'0 0 0 0 0 Z Z Z 	D	0.100512	0.100512	0.100512	0.100512	0.100512	0.000000	0.000000	0.000000	0.375825	0.548840	0.075335	0.000000	1.928747	
14000	-64.597516	370	1	1	'0 0 0 0 0 0 Z 0 	D	0.086154	0.086154	0.086154	0.086154	0.086154	0.086154	0.000000	0.086154	0.297042	0.194966	0.306986	0.201005	0.515391	
15000	-68.390715	477	1	1	'0 0 0 0 0 Z 0 0 	D	30.745942	30.745942	30.745942	30.745942	30.745942	0.000000	30.745942	30.745942	0.250000	0.250000	0.250000	0.250000	20.536339	
16000	-68.390715	480	1	1	'0 0 0 0 0 Z 0 0 	D	8.920998	8.920998	8.920998	8.920998	8.920998	0.000000	8.920998	8.920998	0.250000	0.250000	0.250000	0.250000	9.595764	
17000	-66.949602	437	1	1	'0 0 0 0 0 Z 0 0 	D	0.311898	0.311898	0.311898	0.311898	0.311898	0.000000	0.311898	0.311898	0.250063	0.250169	0.249769	0.249999	0.598446	
18000	-68.390715	886	1	1	'0 0 0 0 0 Z 0 0 	D	12.641586	12.641586	12.641586	12.641586	12.641586	0.000000	12.641586	12.641586	0.250000	0.250000	0.250000	0.250000	12.663313	
19000	-66.130356	580	1	0	'0 0 0 0 0 0 0 0 	I	0.094452	0.094452	0.094452	0.094452	0.094452	0.094452	0.094452	0.094452	0.332904	0.175019	0.322518	0.169559	0.703350	
20000	-65.575578	735	1	2	'0 0 0 0 0 Z 0 Z 	D	0.170839	0.170839	0.170839	0.170839	0.170839	0.000000	0.170839	0.000000	0.293150	0.292772	0.212853	0.201225	8.244808	
21000	-66.214328	604	1	2	'0 0 0 0 0 Z 0 Z 	D	0.448381	0.448381	0.448381	0.448381	0.448381	0.000000	0.448381	0.000000	0.265878	0.238727	0.280498	0.214897	15.882421	
22000	-64.489131	279	1	2	'0 0 0 0 0 0 Z Z 	D	0.064505	0.064505	0.064505	0.064505	0.064505	0.064505	0.000000	0.000000	0.306210	0.133373	0.560417	0.000000	1.023393	
23000	-64.403365	670	1	1	'0 0 0 0 0 0 Z 0 	D	0.088030	0.088030	0.088030	0.088030	0.088030	0.088030	0.000000	0.088030	0.280181	0.192613	0.310482	0.216724	4.858542	
24000	-65.669942	443	1	3	'0 0 0 0 0 Z Z Z 	D	0.089415	0.089415	0.089415	0.089415	0.089415	0.000000	0.000000	0.000000	0.335125	0.618354	0.046521	0.000000	9.071512	
25000	-68.390715	10	1	1	'0 0 0 0 0 Z 0 0 	D	28.155347	28.155347	28.155347	28.155347	28.155347	0.000000	28.155347	28.155347	0.250000	0.250000	0.250000	0.250000	18.378211	
26000	-65.574116	511	1	0	'0 0 0 0 0 0 0 0 	I	0.075356	0.075356	0.075356	0.075356	0.075356	0.075356	0.075356	0.075356	0.272719	0.153605	0.366980	0.206696	29.607523	
