Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  Nep_55spp_Lid_loading_angle_1=0_both.txt
Log File Name:                   Nep_55spp_Lid_loading_angle_1=0_both.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2888450219
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   Nep_55spp_Lid_loading_angle_1=0_both.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-50.284873	781	2	2	'1 Z 0 1 Z 1 0 1 	D	18.022333	0.000000	57.218016	18.022333	0.000000	18.022333	57.218016	18.022333	0.250000	0.250000	0.250000	0.250000	82.517963	
12000	-50.960328	494	2	2	'1 Z 0 1 1 Z 0 1 	D	8.294544	0.000000	28.550011	8.294544	8.294544	0.000000	28.550011	8.294544	0.250000	0.250000	0.250000	0.250000	38.830933	
13000	-50.732587	95	2	2	'1 Z 0 1 1 Z 0 1 	D	2.251731	0.000000	5.422634	2.251731	2.251731	0.000000	5.422634	2.251731	0.250000	0.250000	0.250000	0.250000	10.997110	
14000	-50.435223	315	2	2	'1 Z 0 1 Z 1 0 1 	D	2.240002	0.000000	6.590862	2.240002	0.000000	2.240002	6.590862	2.240002	0.250000	0.250000	0.250000	0.250000	3.276925	
15000	-50.622595	114	2	2	'1 Z 0 1 1 Z 0 1 	D	4.007698	0.000000	10.220225	4.007698	4.007698	0.000000	10.220225	4.007698	0.250000	0.250000	0.250000	0.250000	7.353229	
16000	-55.005592	467	2	1	'1 Z 0 0 0 0 0 1 	D	8.422109	0.000000	24.617379	24.617379	24.617379	24.617379	24.617379	8.422109	0.250000	0.250000	0.250000	0.250000	26.349507	
17000	-50.653693	786	2	2	'0 Z 1 0 Z 0 1 0 	D	11.566687	0.000000	44.975614	11.566687	0.000000	11.566687	44.975614	11.566687	0.250000	0.250000	0.250000	0.250000	23.524699	
18000	-52.579937	149	2	2	'0 Z 1 0 Z 0 1 0 	D	2.374737	0.000000	12.062894	2.374737	0.000000	2.374737	12.062894	2.374737	0.250000	0.250000	0.250000	0.250000	43.068638	
19000	-51.407030	593	2	2	'0 Z 1 0 Z 0 1 0 	D	22.090077	0.000000	97.804244	22.090077	0.000000	22.090077	97.804244	22.090077	0.250000	0.250000	0.250000	0.250000	26.312666	
20000	-52.152154	104	2	2	'0 Z 1 0 Z 0 1 0 	D	1.110089	0.000000	5.475383	1.110089	0.000000	1.110089	5.475383	1.110089	0.249874	0.249888	0.250275	0.249963	42.511444	
