Options:
Model:                           Discrete: Independent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=0_LA1=2.txt
Log File Name:                   LL1=0_LA1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2334803224
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=0_LA1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-60.455424	519	2	0	'0 1 1 1 	25.618850	92.475661	92.475661	92.475661	0.250000	0.250000	0.250000	0.250000	27.108802	
12000	-59.548145	394	2	0	'0 1 1 1 	7.229839	41.970826	41.970826	41.970826	0.250000	0.250000	0.250000	0.250000	39.522706	
13000	-59.695810	531	2	0	'0 1 1 1 	17.313305	83.004893	83.004893	83.004893	0.250000	0.250000	0.250000	0.250000	42.799215	
14000	-59.836046	799	2	0	'0 1 1 1 	20.237994	89.765257	89.765257	89.765257	0.250000	0.250000	0.250000	0.250000	36.127492	
15000	-60.787629	538	2	0	'0 1 1 1 	3.397023	38.262270	38.262270	38.262270	0.250000	0.250000	0.250000	0.250000	29.659485	
16000	-59.550704	33	2	0	'0 1 1 1 	4.544552	25.916545	25.916545	25.916545	0.250000	0.250000	0.250000	0.250000	20.304860	
17000	-60.370352	721	2	0	'0 1 1 1 	4.840375	47.931584	47.931584	47.931584	0.250000	0.250000	0.250000	0.250000	19.984627	
18000	-59.882082	683	2	0	'0 1 1 1 	3.208705	20.586183	20.586183	20.586183	0.250000	0.250000	0.250000	0.250000	3.443749	
19000	-63.914779	369	1	0	'0 0 0 0 	0.110567	0.110567	0.110567	0.110567	0.294788	0.309861	0.192748	0.202603	5.791016	
20000	-63.901528	848	1	0	'0 0 0 0 	0.095425	0.095425	0.095425	0.095425	0.276078	0.348297	0.166089	0.209536	2.553867	
