Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=2_LA1=0.txt
Log File Name:                   LL1=2_LA1=0.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1462389226
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=2_LA1=0.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-61.475399	886	1	1	'0 0 0 0 0 0 Z 0 	D	0.046659	0.046659	0.046659	0.046659	0.046659	0.046659	0.000000	0.046659	0.404293	0.291014	0.224405	0.080288	67.292400	
12000	-64.928295	416	1	3	'0 0 0 0 0 Z Z Z 	D	0.196733	0.196733	0.196733	0.196733	0.196733	0.000000	0.000000	0.000000	0.405215	0.319153	0.275632	0.000000	49.527506	
13000	-61.061642	338	1	2	'0 0 0 0 0 Z 0 Z 	D	0.076034	0.076034	0.076034	0.076034	0.076034	0.000000	0.076034	0.000000	0.423511	0.385627	0.067910	0.122952	25.533654	
14000	-60.361366	736	1	1	'0 0 0 0 0 0 0 Z 	D	0.062667	0.062667	0.062667	0.062667	0.062667	0.062667	0.062667	0.000000	0.468771	0.246416	0.212929	0.071883	12.249247	
15000	-62.639399	704	1	3	'0 0 0 Z 0 0 Z Z 	D	0.094209	0.094209	0.094209	0.000000	0.094209	0.094209	0.000000	0.000000	0.450212	0.161791	0.387997	0.000000	14.667224	
16000	-63.655508	436	1	2	'0 0 0 0 Z Z 0 0 	D	0.065072	0.065072	0.065072	0.065072	0.000000	0.000000	0.065072	0.065072	0.305334	0.518259	0.000000	0.176407	0.378425	
17000	-60.271779	889	1	0	'0 0 0 0 0 0 0 0 	I	0.090130	0.090130	0.090130	0.090130	0.090130	0.090130	0.090130	0.090130	0.448457	0.257865	0.186462	0.107216	0.248143	
18000	-59.630895	453	1	2	'0 0 0 0 0 Z 0 Z 	D	0.063890	0.063890	0.063890	0.063890	0.063890	0.000000	0.063890	0.000000	0.363061	0.434766	0.036879	0.165293	0.039664	
19000	-60.558406	297	1	0	'0 0 0 0 0 0 0 0 	I	0.060985	0.060985	0.060985	0.060985	0.060985	0.060985	0.060985	0.060985	0.413999	0.277490	0.184708	0.123804	0.239128	
20000	-62.677216	523	1	1	'0 0 Z 0 0 0 0 0 	D	0.097104	0.097104	0.000000	0.097104	0.097104	0.097104	0.097104	0.097104	0.466136	0.040821	0.348587	0.144456	1.472531	
