Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=2_Wax1=0.txt
Log File Name:                   LL1=2_Wax1=0.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            254430252
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=2_Wax1=0.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
11000	-48.597509	789	2	2	'0 Z 1 1 0 Z 0 1 	D	5.991852	0.000000	37.425753	37.425753	5.991852	0.000000	5.991852	37.425753	0.250000	0.250000	0.250000	0.250000	43.529681	
12000	-45.580550	488	2	2	'0 Z 1 1 0 Z 0 1 	D	0.571793	0.000000	2.333565	2.333565	0.571793	0.000000	0.571793	2.333565	0.250000	0.250000	0.250000	0.250000	22.410600	
13000	-47.575672	213	2	3	'0 Z 1 1 0 Z Z 1 	D	0.341213	0.000000	2.714155	2.714155	0.341213	0.000000	0.000000	2.714155	0.252361	0.250300	0.248938	0.248401	2.748706	
14000	-44.383187	49	2	3	'0 Z 1 1 0 Z Z 1 	D	0.342112	0.000000	1.922886	1.922886	0.342112	0.000000	0.000000	1.922886	0.250009	0.250001	0.249997	0.249993	10.547557	
15000	-48.024852	927	2	2	'0 Z 1 1 0 Z 1 1 	D	0.290772	0.000000	3.657268	3.657268	0.290772	0.000000	3.657268	3.657268	0.248721	0.249607	0.251207	0.250466	6.471159	
16000	-46.513119	193	2	2	'0 Z Z 1 0 0 0 1 	D	0.099739	0.000000	0.000000	1.411118	0.099739	0.099739	0.099739	1.411118	0.377844	0.193802	0.220671	0.207683	2.900178	
17000	-42.933509	98	2	1	'0 Z 0 1 0 0 0 1 	D	0.441682	0.000000	0.441682	5.646879	0.441682	0.441682	0.441682	5.646879	0.250041	0.249985	0.249989	0.249985	11.777698	
18000	-48.734262	943	2	2	'0 Z 0 1 0 0 Z 1 	D	0.060755	0.000000	0.060755	1.644121	0.060755	0.060755	0.000000	1.644121	0.665698	0.105844	0.124326	0.104133	0.672010	
19000	-43.283462	788	2	2	'0 Z 0 1 0 Z 1 1 	D	0.283079	0.000000	0.283079	5.072559	0.283079	0.000000	5.072559	5.072559	0.251417	0.249481	0.249612	0.249489	2.705284	
20000	-45.351924	963	2	1	'0 Z 0 1 0 0 1 1 	D	0.186809	0.000000	0.186809	6.674340	0.186809	0.186809	6.674340	6.674340	0.254111	0.248578	0.248733	0.248578	8.226578	
